,title,price,location,description,link,Kilométrage,Couleur du véhicule,Etat du véhicule,Année,Cylindrée,Boite,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant
662,Ford focus a vendre ,30000.0,Ariana,Voiture première main en bon état a vendre ford focus année 2012/ 7cv essence 1.6l /km:188000/ 2 vitres électriques/ antibrouillard/ régulateur de vitesse /climatiseur en marche ,https://www.tayara.tn/item/641e3eeb40a1c5493b82d299/,189000.0,Bleu,Avec kilométrage,2012,1.6L,Manuelle,Ford,Focus,7.0,Compacte,Essence
663,PASSAT BREAK,36500.0,Bizerte,JE METS EN VENTE PASSAT BREAK 1.6 TDI BLEU MOTION IMPORTE EN 2015 A PARCOURUE 210000 KM VOITURE TRES BIEN ENTRETENU ET TRES PROPRE GAMME TOUTE OPTION CLIMATISATION CLIMATTONIC SIEGE CHAUFFANTE ELECTRIQUE 4 VITRE ELECTRIQUE TEINTE D'ORIGINE REGULATEUR ET LIMITEUR DE VITESSE RADARS DE STATIONNEMENT AVANT ET ARRIERE ANTIBROUILLARD ABS ESP AIRBAG POSTE TACTILE 7 POUCE AVEC CAMERA DE RECULE 5 JANTE ALUMUE TT EN MARCHE NUMERO: Afficher,https://www.tayara.tn/item/641e24f840a1c5493b82d0f6/,210.0,Gris,Nouveau,2011,1.6L,Manuelle,Volkswagen,Passat,6.0,Autres,Diesel
664,Kia Rio SX ,0.0,La Manouba,Je vends ma propre voiture modéle 2021 5 chv 4 cylindres Je l'ai acheté au contant de chez maison mére elle a roulé 70.000 Voiture encore sous garantie Les vidanges sont réspéctés a temps chez maison NB : je ne fais pas de procuration . ,https://www.tayara.tn/item/641e1be340a1c5493b82d05f/,72000.0,Gris,Nouveau,2020,1.2L,Manuelle,Kia,Rio,5.0,Compacte,Essence
665,fiat grandi evo ,1.0,Sfax,fiat grandi evo tout options essence voiture neuf année 2018,https://www.tayara.tn/item/641e1615f87420510e56f7a0/,120000.0,Gris,Nouveau,2018,1.2L,Manuelle,Fiat,Punto,5.0,Compacte,Essence
666,KIA RIO sx,47900.0,Tunis,"KIA rio SX toutes options ( radar et camera de recul, vitres électroniques, rétroviseurs rabattables électroniques ... ) 1ère main 5 cv Double clé année 2019 90 000 km intérieur en simili cuir voiture en excellent état Contact téléphone : Afficher (je ne réponds pas aux messages)",https://www.tayara.tn/item/641e1445f87420510e56f782/,90000.0,Noir,Avec kilométrage,2019,1.2L,Manuelle,Kia,Rio,5.0,Compacte,Essence
667,Belle 3008 à vendre,34000.0,Ariana,"Je mets en vente une belle voiture peugeot 3008. légèrement négociable pour les sérieux. pour plus d'informations, merci de m'appeler sur Afficher.",https://www.tayara.tn/item/641e063af87420510e56f67d/,108000.0,Blanc,Avec kilométrage,2011,1.9L,Automatique,Peugeot,3008,9.0,Compacte,Essence
668,🚘 AUDI A3 TDI 2017 🚘,78000.0,Ben Arous,"🚘 AUDI A3 TDI 2017 🚘 📆 2017 , TU 232 , Récemment Importée ⛽ 05 CV Diesel , BVM 06 Rapports 🚦114000 KM certifié . 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/640ed268ff75361c11d7dba5/,114000.0,Noir,Nouveau,2017,1.6L,Automatique,Audi,A3,5.0,Compacte,Diesel
669,🚘 KIA SPORTAGE 2 L DIESEL 4*4 🚘,63000.0,Ben Arous,"🚘 KIA SPORTAGE 2 L DIESEL 4*4 🚘 📆 04/2014 , TU 171 , Motorisation 2 L ⛽ 11 CV Diesel , BVA 06 Rapports 🚦177000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910🚘 KIA SPORTAGE 2 L DIESEL 4*4 🚘 📆 04/2014 , TU 171 , Motorisation 2 L ⛽ 11 CV Diesel , BVA 06 Rapports 🚦177000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/6400e86f8575ab54182d7f4e/,177000.0,Marron,Nouveau,2014,2.0L,Automatique,Kia,Sportage,11.0,4 x 4,Diesel
670,🚘 GOLF 7 JOIN 2019 🚘,78000.0,Ben Arous,"🚘 GOLF 7 JOIN 2019 🚘 📆 06/2019 , TU 225 , Première main en Tunisie ⛽ 06 CV Essence , BVM 06 Rapports 🚦33000 KM certifié . 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher",https://www.tayara.tn/item/632ecf3784d19aaeca5cc4ee/,33000.0,Noir,Nouveau,2019,1.2L,Manuelle,Volkswagen,Golf Plus,6.0,Compacte,Essence
671,🚘 SEAT IBIZA FR 2020 🚘,58000.0,Ben Arous,"🚘 SEAT IBIZA FR 2020 🚘 📆 2020 , TU 217 , 04 CYLINDERS ⛽ 06 CV Essence , BVM 05 Rapports 🚦124000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/63b873d7a5f9daa1f174b323/,124000.0,Noir,Nouveau,2020,1.6L,Manuelle,Seat,Ibiza,6.0,Compacte,Essence
672,🚘 HYUNDAI GRAND I10 2019🚘,35500.0,Ben Arous,"🚘 HYUNDAI GRAND I10 2019🚘 📆 2019 , TU 211 ⛽ 05 CV Essence , BVM 05 Rapports 🚦83000 KM certifié . 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/6409916eff75361c11d6fd8a/,83000.0,Bleu,Nouveau,2019,1.2L,Manuelle,Hyundai,Grand i10,5.0,Compacte,Essence
673,🚘 DACIA DOCKER 2019 🚘,30000.0,Ben Arous,"🚘 DACIA DOCKER 2019 🚘 📆 2019 , TU 207 , ⛽ 06 CV Diesel , BVM 05 Rapports 🚴‍♂️ 107000 KM Certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/63f329cd30c4f61e513483f6/,107000.0,Blanc,Nouveau,2019,1.5L,Manuelle,Dacia,Dokker,6.0,Utilitaire,Diesel
674,🚘 SUZUKI SWIFT 2019 BVA 🚘,39000.0,Ben Arous,"🚘 SUZUKI SWIFT 2019 BVA 🚘 📆 2019 , TU 211 ⛽ 05 CV Essence , BVA 05 Rapports 🚦73000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/63fdb3a98575ab54182d2bdd/,73000.0,Gris,Nouveau,2019,1.2L,Automatique,Suzuki,Swift,5.0,Compacte,Essence
675,🚘 Nissan Navara 2010 LE 4*4 🚘,42000.0,Ben Arous,"🚘 Nissan Navara 2010 LE 4*4 🚘 📆 2010 , TU 145 , 4*4 ⛽ 10 CV Diesel , BVM 06 Rapports 🚦270000 KM certifié . 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher",https://www.tayara.tn/item/640840ecff75361c11d6c0d4/,270000.0,Gris,Avec kilométrage,2010,3.0L,Manuelle,Nissan,Navara,10.0,4 x 4,Diesel
676,🚘 VOLKSWAGEN CADDY PRESTIGE 2020 🚘,53500.0,Ben Arous,"🚘 VOLKSWAGEN CADDY PRESTIGE 2020 🚘 📆 2020 , TU 215 , Mototisation 1.6 L TDI ⛽ 05 CV DIESEL , BVM 05 Rapports 🚴‍♂️ 27000 KM Certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/63ec951f57924122c28a67cc/,27000.0,Beige,Nouveau,2020,1.6L,Manuelle,Volkswagen,Caddy,5.0,Utilitaire,Diesel
677,🚘 VOLKSWAGEN AMAROK HIGHLINE 2016🚘,72000.0,Ben Arous,"🚘 VOLKSWAGEN AMAROK HIGHLINE 2016🚘 📆 FIN 2016 , TU 189 ⛽ 06 CV Diesel , BVM 06 Rapports 🚦177000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/63f9cf0307b6d5262f8371d1/,177000.0,Noir,Nouveau,2016,2.0L,Manuelle,Volkswagen,Amarok,7.0,4 x 4,Diesel
678,🚘 Passat B9 BVA FIN 2017 🚘,75000.0,Ben Arous,"🚘 Passat B9 BVA FIN 2017 🚘 📆 09/2017 , TU 232 , Récemment Importée ⛽ 06 CV Diesel , Boite vitesse Automatique 🚦119000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/63c151592109087dfe75fb70/,119000.0,Noir,Nouveau,2017,1.6L,Automatique,Volkswagen,Passat CC,6.0,Berline,Diesel
679,🚘 KIA RIO BERLINE 2020 🚘,52000.0,Ben Arous,"🚘 KIA RIO BERLINE 2020 🚘 📆 2020 , TU 216 , Motorisation 1.4 L ⛽ 06 CV Essence , BVM 06 Rapports 🚴‍♂️ 69000 KM Certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/63ec963b30c4f61e5133f70b/,69000.0,Bleu,Nouveau,2020,1.4L,Manuelle,Kia,Rio,6.0,Berline,Essence
680,🚘 KIA RIO SEDAN 1.4 L 2020 🚘,52000.0,Ben Arous,"🚘 KIA RIO SEDAN 1.4 L 2020 🚘 📆 07/2020 , TU 217 ⛽ 06 CV Essence , BVM 06 Rapports 🚦62000 KM certifié . 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/640ed44eff75361c11d7dbf9/,63000.0,Noir,Nouveau,2020,1.4L,Manuelle,Kia,Rio,6.0,Berline,Essence
681,🚘 KIA SPORTAGE GT-LINE 2018 🚘,110000.0,Ben Arous,"🚘 KIA SPORTAGE GT-LINE 2018 🚘 📆 2018 , FIN SERIE , 1.7 L DIESEL ⛽ 07 CV DIESEL , BVA 07 Rapports 🚦74000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom sur la GP1 Niveau Ezzahra à Côté KFC. 🔁 Possibilité d'echange ☎ TEL : Afficher",https://www.tayara.tn/item/63919668df4ab20a2d7eb902/,74000.0,Blanc,Nouveau,2018,1.7L,Automatique,Kia,Sportage,7.0,4 x 4,Diesel
682,🚘 CITROEN BERLINGO K9 2023 🚘,57000.0,Ben Arous,"🚘 CITROEN BERLINGO K9 2023 🚘 📆 2023 , TU 234 ⛽ 05 CV Diesel , BVM 05 Rapports 📍800 KM certifié ❇️❇️❇️ Sous Garantie ❇️❇️❇️ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom à Boumhal à Côté MAAZIM EZZAHRA. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/641b859af87420510e56ce4c/,800.0,Blanc,Nouveau,2023,1.6L,Manuelle,Citroen,Berlingo,5.0,Utilitaire,Diesel
683,🚘 Seat Ibiza 2019 🚘,41000.0,Ben Arous,"🚘 Seat Ibiza 2019 🚘 📆 2019 , TU 208 , Première main , Peinture origine ⛽ 04 CV Essence , BVM 05 Rapports 📍57000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom à Boumhal à Côté MAAZIM EZZAHRA. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/641b87b040a1c5493b82a670/,57000.0,Gris,Nouveau,2019,<1.0L,Manuelle,Seat,Ibiza,4.0,Compacte,Essence
684,🚘 Seat Ibiza 2019 🚘,41000.0,Ben Arous,"🚘 Seat Ibiza 2019 🚘 📆 2019 , TU 211 , Peinture origine ⛽ 04 CV Essence , BVM 05 Rapports 📍128000 KM certifié ✅✅✅✅ 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom à Boumhal à Côté MAAZIM EZZAHRA. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/641ce8bd40a1c5493b82bb8d/,128000.0,Gris,Nouveau,5019,<1.0L,Manuelle,Seat,Ibiza,4.0,Compacte,Essence
685,🚘 SEAT IBIZA STYLE 2020 🚘,45000.0,Ben Arous,"🚘 SEAT IBIZA STYLE 2020 🚘 📆 06/2020 , TU 216 ⛽ 04 CV Essence , BVM 05 Rapports 📍132000 KM certifié . 📛 Voiture en excellente état . 🏢 Disponible à notre Showroom à Boumhal à Côté MAAZIM EZZAHRA. 🔁 Possibilité d'echange ☎ TEL : Afficher https://www.tayara.tn/shop/aafd Affichere3a-812d-f9d79641f910",https://www.tayara.tn/item/6414d75e40a1c5493b81d19d/,132000.0,Blanc,Nouveau,2020,<1.0L,Manuelle,Seat,Ibiza,4.0,Compacte,Essence
686,Mercedes-Benz c180 Restylée Amg édition plus ,1.0,Sfax,"🚘MERCEDES-BENZ C180 Restylée AMG édition plus 🚘 ✅⚪️AMG édition plus ⚪️ ✅2014 ✅135,000km Certifié ✅CGI 1.6 ✅Kit AMG ✅9CV ✅Essence ✅🔈Mercedes sound systems 🔈 ✅Boite automatique ✅ecran ✅camera ✅Siéges électriques à mémoire ✅salon cuir édition ✅Volant multifunction ✅ Toit Panoramique ✅Jantes par 19' 💯Voiture état originel Nèuf 💯 Numéro tèl ☎️ Afficher",https://www.tayara.tn/item/641dfae540a1c5493b82ce20/,137000.0,Blanc,Avec kilométrage,2014,1.6L,Automatique,Mercedes-Benz,Classe C,9.0,Autres,Essence
687,À vendre une belle voiture Ford Fiesta titanium ,0.0,Kairouan,"À vendre une belle voiture Ford Fiesta titanium 🚘5 places, 4 portes🚘 ⛽Énergie : essence ⛽ 🐎Puissance fiscale: 5 cv 🐎 🗓Année: 2011🗓 📟kilométrage: 178 km📟 ✅Vitre électrique ✅ ✅Fermeture centrale ✅ ✅Rétroviseur électrique ✅ ✅Climatiseur en marche glass ❄ ✅Volant Assisté ✅ ✅Intérieur tous d'origine et propre ✅ ✅Moteur excellant ✅ ⛔Disponible seulement à: 🛑 Kairouan centre ville 🚨🚨Pour plus d'informations veuillez me contacter à cette numéro : ☎️ Afficher",https://www.tayara.tn/item/641dfaae40a1c5493b82ce1b/,178.0,Noir,Nouveau,2011,1.2L,Manuelle,Ford,Fiesta,5.0,Compacte,Essence
688,Polo Ambition ,60000.0,Ariana,"A vendre, une polo Ambition, juin 2021, 42000 km, capteur arrière, accoudoir, climatronic, …… Une voiture très propre, utilisé par une seule personne, état neuf, tout est d’origine, historique d’entretien chez le concessionnaire avec factures. NB : Prix fixe pour les Interressés.",https://www.tayara.tn/item/641df8e840a1c5493b82ce00/,42000.0,Argent,Avec kilométrage,2021,<1.0L,Manuelle,Volkswagen,Polo,4.0,Compacte,Essence
689,106,9200.0,Mahdia,🌈🌈 Urgent à cause de voiture populaire ,https://www.tayara.tn/item/641df1b9f87420510e56f531/,179.0,Gris,Avec kilométrage,1996,1.3L,Manuelle,Peugeot,106,3.0,Compacte,Essence
690,🇨🇵🇨🇵.. Citroën..C3🇨🇵🇨🇵,0.0,Tunis,🇨🇵....Citroen__C3..🇨🇵🇨🇵 ⛽_1.2 Essence//5cv 📅_12/2008 📟242.000 Km//certifié ⭐.Avec carné d'entretien ⛔Voiture puissante..touts options ✅ Climatisé ✅2 Vitre électrique ✅ Fermeture central ✅ Système d'alarme ✅Jante alu d 'origine ✅ Rétroviseurs électriques ✅Double clé ✅touts les vitre d'origine 🏢_Disponible à Wardia 1 ☎️: Afficher,https://www.tayara.tn/item/641de8b240a1c5493b82cd1e/,242000.0,Bleu,Avec kilométrage,2008,1.2L,Manuelle,Citroen,C3,5.0,Berline,Essence
691,Suzuki ciaz ,48000.0,Ben Arous,Numéro ; Afficher /  32 000 km PRIX 48 000 TRÈS BELLE VOITURE SUZUKI CIAZ NOUVEAU MODEL PREMIERE MAIN EN ETAT NEUF VOITURE TRÈS TRÈS PROPRE INTÉRIEUR ET EXTÉRIEUR TOUTE OPTION,https://www.tayara.tn/item/641ddaa9f87420510e56f414/,32000.0,Beige,Avec kilométrage,2020,1.5L,Automatique,Suzuki,Alto,6.0,Autres,Essence
692,megane casquette,16500.0,La Manouba, voiture toutes options en bon etat tel : Afficher ,https://www.tayara.tn/item/641dd4f040a1c5493b82cc50/,0.0,Noir,RS,2004,1.5L,Manuelle,Renault,Megane,5.0,Autres,Diesel
693,golf 6 tsi 1.4 boite auto,34000.0,Gafsa,voiture en bonne etat boite auto D7 dsg possible dechange contre petite voiture  Afficher,https://www.tayara.tn/item/641dd47340a1c5493b82cc49/,182000.0,Noir,Avec kilométrage,2010,1.4L,Automatique,Volkswagen,Golf,7.0,Compacte,Essence
694,caddy prestige ,0.0,Bizerte,A vendre Caddy prestige ou échange avec voiture familiale 1.6 TDI nouveau modelle 5 cv diesel 120km Double cle Etat neuf Toit panoramique et ouvrant Radar de recule Poste tactile Volant multifonctions Vitre électrique Cabine très très propre Boit a gant réfrigérer NB: Kit destribution et pompe a eau et vidange et 4 roue récemment changer Tlf: Afficher,https://www.tayara.tn/item/641dcb2b40a1c5493b82cba7/,120000.0,Gris,Nouveau,2018,1.6L,Manuelle,Volkswagen,Caddy,5.0,Compacte,Essence
695,voiture ,9000.0,Tunis,je mets en vente Citroën Saxo essence 4cv الاتصال برقم Afficher,https://www.tayara.tn/item/641dcadc40a1c5493b82cba3/,20000.0,Noir,Nouveau,2000,1.1L,Manuelle,Citroen,Saxo,90192098.0,Compacte,Essence
696,Audi a4 comfort ligne ,21000.0,Tunis, Tel Afficher Av audi a4 comfort ligne full option 8 air bag Abs.esp Fermuture central 5 jont alum Salon cuir Climatronique 4 viter electrique Retrviseur electrique Doubl clee Voiture en tres bonne etat ,https://www.tayara.tn/item/641dc3e7f87420510e56f295/,267.0,Noir,Avec kilométrage,2003,1.6L,Manuelle,Audi,A4,7.0,Autres,Essence
697,🚘 Kia Rio Sx Full option 🚘,0.0,Nabeul,🚘 Kia Rio Sx Full option 🚘 📌 Voiture première main📌 ✔Model : 2020 ✔Kilométrage : 108000Km certifié ✔Puissance : 5 CV ✔Énergie : essence 📲Téléphone : Afficher / Afficher 📲 ⚡On accepte l'échange⚡ 📌 Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell 📌,https://www.tayara.tn/item/641dc10b40a1c5493b82caf7/,108000.0,Blanc,Avec kilométrage,2020,1.2L,Manuelle,Kia,Rio,5.0,Compacte,Essence
698,Bonne occasion ,58500.0,Gabès,voiture très bien entretenu tt Options avec toit ouvrant électrique Tout les entretiens fait maison Toyota déjà le dernier vidange fait avec 4 bougies neufs pneus baraum neufs aucun dépenses à prévoir ,https://www.tayara.tn/item/641db9ce40a1c5493b82caa1/,385000.0,Blanc,Avec kilométrage,2015,2.0L,Automatique,Toyota,RAV 4,9.0,4 x 4,Essence
699,voiture en bon etat,21000.0,Bizerte,voiture mgnifique pour le travail prix nogiable,https://www.tayara.tn/item/641db966f87420510e56f1f2/,350000.0,Blanc,Avec kilométrage,1997,1.8L,Manuelle,Isuzu,D-MAX,10.0,Berline,Diesel
700,av، une belle voiture ,24000.0,Ben Arous,"av, une belle voiture tt option très propre avec ABS esp clim  Afficher",https://www.tayara.tn/item/641db70df87420510e56f1be/,140000.0,Blanc,Avec kilométrage,2018,1.2L,Manuelle,Citroen,C-Elysée,5.0,Berline,Essence
701,Volkswagen caddy ,0.0,Nabeul,Volkswagen Caddy bluemotion 🇲🇫 importé de France Voiture neuf à l'état d'origine toute option peinture d'origine Tous les vitres d'origine. Rétroviseurs électriques Fermeture centralisée à distance d'origine Direction assistée Climatiseur en marche Feux antibrouillard avant et arrière ABS+airbags Intérieur d'origine Poste CD d'origine mp3 feux de jour 2 vitres électrique Régulateur & limite de vitesse Puissance fiscale 8cv ABS ESP Jantes aluminium 6 airbags ASR Anti-démarrage Boulons de roues sécurité Ordinateur de bord,https://www.tayara.tn/item/641dae2a40a1c5493b82c977/,167.0,Gris,RS,2009,1.9L,Manuelle,Volkswagen,Caddy,8.0,Compacte,Diesel
702, Renault captur ,1.0,Sousse,très belle voiture Renault captur toutes options année 2016 essence ,https://www.tayara.tn/item/641daaabf87420510e56f083/,143.0,Gris,Avec kilométrage,2016,1.2L,Manuelle,Renault,Captur,6.0,Berline,Essence
703,voiture,33000.0,Sfax,Mahindra kuv 100 ,https://www.tayara.tn/item/641da6b5f87420510e56f00b/,145000.0,Gris,Avec kilométrage,2018,3.0L,Manuelle,Mahindra,Hover,5.0,Pick up,Essence
704,Kia Rio boîte auto ,35500.0,Sfax,voiture neuf tout options boîte auto caméra de recul toit ouvrant ,https://www.tayara.tn/item/641da662f87420510e56f001/,81000.0,Rouge,Nouveau,2014,1.4L,Automatique,Kia,Rio,6.0,Berline,Essence
705,polo 7 restylé ,35000.0,Sfax,voiture neuf tout options ,https://www.tayara.tn/item/641da5ba40a1c5493b82c87e/,121000.0,Marron,Nouveau,2016,<1.0L,Manuelle,Volkswagen,Polo,4.0,Berline,Essence
706,clio dynamic/52570721,37000.0,Ben Arous,je mets en vente une voiture très bien entretenue à l'état d'origine toutes options en marche.,https://www.tayara.tn/item/641da39a40a1c5493b82c83b/,116000.0,Gris,Avec kilométrage,2016,1.4L,Manuelle,Renault,Renault.Clio,5.0,Compacte,Essence
707,mercedes c200 4matic hybride pack night kit amg !!!!27mkm!!!,190000.0,Ariana,"a vendre unique mercedes c200 4matic (eq boost) kilometrage !!!!!!27mkm seulement !!!! voiture importer d'allemagne TU232 essence boite automatique 9 rapports 11cv 135kw de puissance et 280Nm de couple (181ch) 0 a 100km/h a 7.7s pack night kit amg ful options -phares full led MULTIBEAM jante AMG a rayons multiples 19pouces grand ecran compteur digital ( reglable 3 modes sport,classic,progressif) 5 mode de conduite (eco,confort,sport,sport+,manuel) pack d'assistance avancée volant multifonctions en cuir sièges chauffants sièges électriques aide au parking avancé ( aide au stationnement avant & arrière ,camera 360 ) park assit (la voiture se gare toute seule ) interieur cuir double toi ouvrant panoramique keyless go start&stop lumiere d'ambiance (64couleur) rétroviseur électrique rabattable vitre surteinteé freinage d'urgence detecteur de panneau grille de calendre en diamant systeme d'audio avancé touchpad android auto et applecarplay chargement de telephone sans fil palette au volant controle de pression de pneu regulateur de vitesse adaptatif et plein d'autres options NB : A ne pas comparer avec les class c vendus en tunisie coté motorisation et équipements prix négociable pour les serieux ",https://www.tayara.tn/item/641d9e6040a1c5493b82c7a7/,27000.0,Blanc,Avec kilométrage,2022,1.5L,Automatique,Mercedes-Benz,Classe C,11.0,Berline,Essence
708,PEUGEOT 206 Parfait état 4cv ,20300.0,Monastir,"Peugeot 206 : Fin 2009(dernier model) ; 130000km voiture 1 ère main d’une dame ,Très bien entretenu état d’origine ,jamais touchée, puissance fiscal 4 cv,bte manuelle 5 rapport options: Clim, Dir Assisté , 2 Vitres Av électrique , Auto Radio connectivite AUX USB; Sys d’alarme, sellerie original ; volant réglable en hauteur, Fermeture Centralisée à distance, Double clé disponible, Visite technique valable jusqu'au Sept 2023 Roue de secours disponible ,Dernier vidange déjà fait, Embrayage changé récemment , Absolument rien à prévoir, « karhba lelksiba » Prix 20300Dt Légèrement Négociable Curieux s’abstenir SVP Autre informations Lamjed Afficher ",https://www.tayara.tn/item/641d9bc040a1c5493b82c749/,130000.0,Gris,Avec kilométrage,2009,1.2L,Manuelle,Peugeot,206,4.0,Berline,Essence
709,301 Peugeot ,19500.0,Ben Arous,système d'alarme caméra de recul amortisseurs et essuie glace récemment changés vidange récemment fait la vente pour la raison d'achat d'une nouvelle voiture ,https://www.tayara.tn/item/641d99eef87420510e56ee8e/,171000.0,Marron,Avec kilométrage,2013,1.2L,Manuelle,Peugeot,301,5.0,Berline,Essence
710,Peugeot 407,20500.0,Kairouan,voiture Peugeot 407 en bon état ,https://www.tayara.tn/item/641d903440a1c5493b82c5d0/,280000.0,Gris,Avec kilométrage,2005,3.0L,Manuelle,Peugeot,407,6.0,Compacte,Diesel
711,Ford fiesta titanium ,0.0,Tunis,voiture à l'état d'origine climatronique rétroviseurs électrique quatre pneus neufs poste mp3 Bluetooth volant multifonction ,https://www.tayara.tn/item/641d8d41f87420510e56ed16/,147000.0,Noir,Avec kilométrage,2015,1.3L,Manuelle,Ford,Fiesta,5.0,Berline,Essence
712,Jaguar XJL Sovreign,0.0,Ariana,⛔ Jaguar XJL Sovreign Unique ☑️ Boite automatique ☑️ Toit ouvrant ☑️ Écran tactile ☑️ Intérieur Cuir ☑️ Écran DVD ☑️ Connectivité bluetooth et USB ☑️ jantes alliage 19 pouces ☑️Mode sport ⛔ Voiture visible à notre showroom Ariana soghra près du pôle technologie ghazela ⛔Tel Afficher,https://www.tayara.tn/item/637e52b73d13a3e56fee0a95/,138000.0,Bleu,Avec kilométrage,2008,3.0L,Automatique,Jaguar,Sovreign,17.0,Berline,Essence
713,Mercedes C180 Coupé ,67000.0,Ariana,⛔ Mercedes C180 Coupé ☑️ Boite automatique ☑️Toit panoramique et ouvrant ☑️ Volant multifonctions ☑️ Connectivité bluetooth et USB ☑️Feux automatiques ☑️ Rétroviseurs électriques rabattables ☑️ Intérieur Cuir ⛔ voiture visible à notre showroom Ariana soghra près du pôle technologie ghazela ⛔Nous acceptons l échange ⛔Tel Afficher,https://www.tayara.tn/item/637f51353d13a3e56fee1d37/,160000.0,Noir,Avec kilométrage,2011,1.8L,Automatique,Mercedes-Benz,Classe C,9.0,Compacte,Essence
